scenario,horizon_days,warmup_days,forecaster,reward_mode,ga_mode,replication,policy,total_cost,holding_cost,stockout_cost,ordering_cost,routing_cost,fill_rate,stockout_rate
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,0,STATIC,21932076.50076499,8235.73787362958,21869027.04137552,31113.8282560896,23699.893259754284,0.4271503201439006,0.6239316239316239
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,0,DYNAMIC,20779745.44248759,80235.00600533992,20617396.61118613,54124.7232130686,27989.102083049336,0.4835133272701192,0.5170940170940171
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,0,DYN_FC,21875836.077173192,12255415.056460248,8450920.263599217,992876.3551752107,176624.4019385176,0.7610572328816734,0.2564102564102564
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,0,BASESTOCK,21016180.362232678,11729549.883227238,8184898.255796528,935503.9331529944,166228.290055913,0.7753636395267497,0.2393162393162393
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,0,AI,9864547.228656406,1166256.988091379,8542014.450893698,130826.66703960251,25449.1226317248,0.7553742411380103,0.2606837606837607
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,1,STATIC,24321107.91865982,16789.99123468072,24249340.771257475,31343.64013594443,23633.51603172038,0.4059161685849679,0.6282051282051282
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,1,DYNAMIC,23275054.736735422,88646.00504995717,23104285.3966062,54035.13655075983,28088.198528510628,0.4570342677900118,0.5384615384615384
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,1,DYN_FC,20636019.95125833,10660615.398303654,8919026.169087157,897132.1664160993,159246.21745142678,0.7773157727085805,0.2264957264957265
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,1,BASESTOCK,21799751.779777583,11348190.410315352,9318439.618814122,961960.2770649908,171161.4735831159,0.7684092088775708,0.235042735042735
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,1,AI,11435520.813407429,2212485.5368259726,8919026.169087157,257433.1190134114,46575.98848088684,0.7773157727085805,0.2264957264957265
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,2,STATIC,23990943.5359989,15471.712531074769,23921451.35935695,30762.53846827385,23257.92564259729,0.4371255423200748,0.5726495726495726
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,2,DYNAMIC,20691338.862725247,88855.77439347896,20530739.978067134,46786.30561997399,24956.8046446606,0.506841603812081,0.4914529914529914
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,2,DYN_FC,23831291.783854075,12264942.987062473,10402831.947887937,986602.0735253656,176914.77537829726,0.7418201648695435,0.2649572649572649
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,2,BASESTOCK,21510460.309716616,11075050.457934948,9409084.06260478,872428.2003209299,153897.58885595642,0.7670085677164759,0.2393162393162393
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,2,AI,12138031.32790856,2111076.1191209825,9735451.958620192,244772.47381603057,46730.77635135434,0.754770089847223,0.2478632478632478
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,3,STATIC,21080724.85109144,38251.88732223168,20987088.62167134,32062.98007935279,23321.362018515592,0.4531722092480088,0.5683760683760684
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,3,DYNAMIC,18870604.264069986,126991.06521647613,18671743.67722963,47180.69320854363,24688.82841532685,0.4998098689411749,0.4829059829059829
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,3,DYN_FC,21976757.963426773,11464588.594334418,9354229.21904233,982154.1314415764,175786.01860844708,0.744114756388996,0.2478632478632478
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,3,BASESTOCK,23608950.655503765,12004382.458324522,10364237.737080744,1049070.1490595452,191260.3110389532,0.730519606858502,0.2606837606837607
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,3,AI,12195981.95043895,1784866.973066061,10190877.745255113,185689.4628949197,34547.769222855364,0.7372818380504078,0.2521367521367521
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,4,STATIC,23557581.80352948,35905.42503084152,23465879.15230096,32203.156376496023,23594.06982118244,0.4397297179802952,0.6196581196581197
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,4,DYNAMIC,20599781.835153226,108076.17667701296,20417005.10476737,48892.340845005296,25808.21286383457,0.5096461081494339,0.4871794871794871
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,4,DYN_FC,24375963.322392598,12347875.590570386,10799235.732245704,1038194.7740626576,190657.2255138512,0.751592201272462,0.2478632478632478
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,4,BASESTOCK,23498348.57844725,11733113.41684468,10614897.789139424,977841.4616750844,172495.91078805746,0.7592641564917038,0.2435897435897435
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,4,AI,13126196.92509454,971196.1675084694,12024793.28684938,109725.59171063438,20481.879026057268,0.7178076849730333,0.282051282051282
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,5,STATIC,19656156.6077422,36830.92374414961,19564786.84587276,31766.62550699712,22772.212618299305,0.4560901344240062,0.5641025641025641
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,5,DYNAMIC,17517506.366757028,176217.58860015348,17268223.571694445,47177.19442899705,25888.01203343264,0.5019787762291347,0.5042735042735043
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,5,DYN_FC,21522055.017064232,11130968.572564712,9145308.637677392,1051115.041301743,194662.76552038649,0.7333172769739301,0.2521367521367521
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,5,BASESTOCK,20931393.825287603,10679120.211550456,9074145.09191874,997566.6554822836,180561.86633612317,0.7403535676406482,0.2435897435897435
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,5,AI,12570420.840468368,889158.2975852134,11479872.808468595,168808.6026317452,32581.13178281213,0.6742471965139119,0.3247863247863248
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,6,STATIC,23357359.51093286,41235.51063260112,23259975.77684956,32487.74874381283,23660.474706889727,0.4385805627954314,0.5726495726495726
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,6,DYNAMIC,19895761.85423101,132785.3513869136,19688995.036980707,48601.18853788312,25380.277325506053,0.4993130763409296,0.4914529914529914
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,6,DYN_FC,23787035.10228464,13137153.045997072,9390497.65070768,1069197.7856552463,190186.61992463973,0.7420306574030889,0.2478632478632478
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,6,BASESTOCK,23971182.67199632,13102220.608008336,9602359.973143218,1073400.5962506756,193201.4945940916,0.7384922217709065,0.2521367521367521
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,6,AI,12819510.29632678,1983710.79529167,10550272.122898316,240552.2587502369,44975.119386557286,0.7103827774644719,0.282051282051282
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,7,STATIC,24493737.49934844,11826.870362276964,24426892.72921723,31765.864677509613,23252.03509141897,0.4420835654490853,0.5854700854700855
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,7,DYNAMIC,20718387.090412118,79950.09774364738,20558465.222110827,52777.11126294945,27194.659294688197,0.4902818702275908,0.5170940170940171
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,7,DYN_FC,25328879.01202048,13667425.640303783,10367762.025064666,1097129.9862397711,196561.36041225516,0.7349029586533455,0.2735042735042735
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,7,BASESTOCK,24005984.564314984,12995003.317194438,9792486.396900397,1035646.4532752098,182848.39694494056,0.751224292688336,0.2564102564102564
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,7,AI,11806796.254728615,1471760.5338773108,10164036.196409136,143487.31223698342,27512.212205187145,0.7390001389020618,0.2649572649572649
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,8,STATIC,21965598.145266984,9064.712752669113,21904434.658838782,29107.113790970827,22991.659884559896,0.4106345917119198,0.5982905982905983
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,8,DYNAMIC,19043509.879168697,72269.04799261951,18897602.805436496,47836.23708614531,25801.788653433905,0.5074872218198005,0.5042735042735043
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,8,DYN_FC,20854895.41603025,11247049.344993344,8499852.604545906,938090.4232665368,169903.04322446077,0.7527829118334236,0.2478632478632478
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,8,BASESTOCK,20305015.179972835,10822729.638931554,8414138.995476432,907224.3812457907,160922.1643190565,0.761659413645552,0.2435897435897435
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,8,AI,9988644.82354528,1312597.2232952097,8499852.604545906,147707.52730277705,28487.468401386646,0.7527829118334236,0.2478632478632478
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,9,STATIC,25410151.163505767,45797.545437788045,25311482.994706523,30219.424347129538,22651.199014330254,0.4504380374134174,0.5641025641025641
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,9,DYNAMIC,21546912.042356737,259892.68924473008,21212350.993923426,48477.04799074449,26191.31119784037,0.4960509251599799,0.5213675213675214
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,9,DYN_FC,23358646.854811583,12015353.863810863,10278606.174519822,902628.250168054,162058.56631284303,0.7612104030661045,0.2435897435897435
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,9,BASESTOCK,22629914.72594147,11804153.955003336,9784661.17966538,886509.8156936499,154589.77557910478,0.7757022847768164,0.2307692307692307
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,9,AI,12226034.940794129,1708335.004410986,10319104.086949209,164588.38756595156,34007.46186797976,0.7582631775554615,0.2478632478632478
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,10,STATIC,23711969.467717275,17466.262483331066,23639828.77577047,31000.88875416849,23673.54070930602,0.423708599686394,0.6324786324786325
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,10,DYNAMIC,22362340.16909185,70345.56427976779,22215322.806554515,49614.97156019124,27056.82669737798,0.4960145416975192,0.5384615384615384
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,10,DYN_FC,22500706.541515317,11746438.711306432,9660056.956060983,927112.177208434,167098.6969394641,0.7725925472713744,0.2393162393162393
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,10,BASESTOCK,21708376.0441901,11659016.011834385,8981519.423245074,907230.9335830222,160609.67552762016,0.7829204163208123,0.2307692307692307
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,10,AI,15115541.617933186,2774721.296500267,11926227.361295013,350277.8504608713,64315.10967703284,0.7353003011901041,0.2735042735042735
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,11,STATIC,23177672.981872976,19530.193314576416,23102247.96978941,32379.582785670125,23515.235983323088,0.4448730141138802,0.5811965811965812
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,11,DYNAMIC,22666341.41489804,85083.67350329492,22502399.668251783,51776.8160618598,27081.25708110061,0.5065171077602819,0.5170940170940171
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,11,DYN_FC,25696479.54213719,13435465.302896244,11021768.956640624,1053562.620468711,185682.66213161653,0.7421034419976607,0.2649572649572649
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,11,BASESTOCK,23541969.702462737,12438915.570380192,9961846.26787742,971102.130621457,170105.73358367122,0.7624983928090651,0.2478632478632478
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,11,AI,14086961.93357707,1885883.8269732937,11975005.289466426,189909.6779607133,36163.13917663815,0.7233929071596322,0.282051282051282
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,12,STATIC,23917637.066310547,16659.381368913106,23845028.25975156,32131.966370328133,23817.45881974324,0.4556093934033906,0.6153846153846154
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,12,DYNAMIC,23509415.792028643,83630.60691423947,23347554.741967063,51073.33228162606,27157.110865712748,0.4807952529230722,0.5299145299145299
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,12,DYN_FC,23746745.44728212,11736189.570850857,10882349.469916165,954138.147936678,174068.2585784193,0.7639809283920654,0.2435897435897435
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,12,BASESTOCK,25311825.16078441,12432581.548689986,11680846.564885262,1016925.1019135308,181471.94529562863,0.7498566612991826,0.2564102564102564
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,12,AI,13857002.019084971,1413243.32372654,12256887.856474556,156147.9574343643,30722.881449512908,0.7220743642407873,0.282051282051282
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,13,STATIC,26555353.3340636,7885.341575582096,26492262.47887308,31626.09212021854,23579.42149471772,0.4380865463230111,0.6367521367521367
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,13,DYNAMIC,26605642.18811458,56716.261409429,26470924.691039745,51082.08297195108,26919.15269345525,0.4924823964464987,0.5213675213675214
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,13,DYN_FC,28113966.174038317,12013710.920408135,14863332.219045175,1046023.3658036928,190899.66878130517,0.7532581501883483,0.2478632478632478
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,13,BASESTOCK,28147635.567179203,12050319.470821423,14863332.219045175,1048668.9149460297,185314.96236657057,0.7532581501883483,0.2478632478632478
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,13,AI,15919226.420973198,919454.748342664,14863332.219045175,113945.806776428,22493.64680892836,0.7532581501883483,0.2478632478632478
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,14,STATIC,20270771.645615023,9843.905830499967,20209433.806057565,28616.70302186224,22877.23070510125,0.4444376843302582,0.6709401709401709
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,14,DYNAMIC,16999582.910604876,94490.51892448062,16828997.023340013,50120.5689246312,25974.79941574729,0.5048651056819295,0.4957264957264957
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,14,DYN_FC,20749960.978746854,12687117.476788502,6964595.853154625,932436.4125967468,165811.23620698022,0.7730618264775391,0.2393162393162393
SUPPLY_DISRUPTION,180,54,lstm_rf,inventory_plus_routing,on,14,BASESTOCK,22977947.24786112,13806938.230013993,7939520.612292472,1047873.0724741628,183615.33308048823,0.736143647802386,0.2735042735042735
